day,visitors
1,140.09223483558085
2,141.8421751928473
3,108.83816429592115
4,70.36806874490298
5,85.08716168903312
6,76.41820631895659
7,90.21511030039918
8,126.02264801240429
9,120.90404782735305
10,116.31534274713884
11,90.41327484411386
12,76.85481426872964
13,79.82205628419462
14,113.8264030772504
15,98.2793931567977
16,127.50919481109693
17,112.68687404852702
18,72.51081675394393
19,74.91782314126122
20,70.64651825003567
21,102.06205364576235
22,122.29504475812001
23,141.39725045017792
24,110.24354077012758
25,100.03818396038645
26,62.434768942183055
27,77.95987559379739
28,89.78666207232455
29,114.82455273596194
30,135.28501292671328
