day,visitors_scaled
1,0.9493966658709416
2,1.2024990977446772
3,0.49332184285368375
4,-0.6441101612894667
5,-1.3532874161804616
6,-1.100184984306726
7,-0.07539415921789211
8,0.9493966658709411
9,1.2024990977446772
10,0.49332184285368375
11,-0.6441101612894667
12,-1.3532874161804616
13,-1.100184984306726
14,-0.07539415921789211
15,0.9493966658709411
16,1.2024990977446772
17,0.49332184285368375
18,-0.6441101612894667
19,-1.3532874161804616
20,-1.100184984306726
21,-0.07539415921789398
22,0.9493966658709411
23,1.2024990977446772
24,0.49332184285368375
25,-0.6441101612894661
26,-1.3532874161804616
27,-1.1001849843067266
28,-0.07539415921789398
29,0.9493966658709411
30,1.2024990977446772
